"Index Name","Date","P/E","P/B","Div Yield %"
"NIFTY 500","05 Jan 2024","24.69","3.94","1.16"
"NIFTY 500","04 Jan 2024","24.62","3.93","1.16"
"NIFTY 500","03 Jan 2024","24.4","3.89","1.17"
"NIFTY 500","02 Jan 2024","24.47","3.9","1.17"
"NIFTY 500","01 Jan 2024","24.53","3.91","1.17"
"NIFTY 500","29 Dec 2023","24.48","3.91","1.17"
"NIFTY 500","28 Dec 2023","24.45","3.9","1.17"
"NIFTY 500","27 Dec 2023","24.32","3.88","1.18"
"NIFTY 500","26 Dec 2023","24.14","3.85","1.18"
"NIFTY 500","22 Dec 2023","24.02","3.83","1.18"
"NIFTY 500","21 Dec 2023","23.88","3.81","1.19"
"NIFTY 500","20 Dec 2023","23.67","3.77","1.2"
"NIFTY 500","19 Dec 2023","24.16","3.85","1.17"
"NIFTY 500","18 Dec 2023","24.15","3.85","1.17"
"NIFTY 500","15 Dec 2023","24.13","3.85","1.18"
"NIFTY 500","14 Dec 2023","23.92","3.81","1.19"
"NIFTY 500","13 Dec 2023","23.64","3.77","1.2"
"NIFTY 500","12 Dec 2023","23.56","3.76","1.2"
"NIFTY 500","11 Dec 2023","23.66","3.77","1.18"
"NIFTY 500","08 Dec 2023","23.58","3.76","1.19"
"NIFTY 500","07 Dec 2023","23.58","3.76","1.19"
"NIFTY 500","06 Dec 2023","23.55","3.76","1.19"
"NIFTY 500","05 Dec 2023","23.43","3.74","1.2"
"NIFTY 500","04 Dec 2023","23.26","3.71","1.21"
"NIFTY 500","01 Dec 2023","22.84","3.64","1.23"
"NIFTY 500","30 Nov 2023","22.68","3.62","1.24"
"NIFTY 500","29 Nov 2023","22.57","3.6","1.24"
"NIFTY 500","28 Nov 2023","22.37","3.57","1.27"
"NIFTY 500","24 Nov 2023","22.24","3.55","1.27"
"NIFTY 500","23 Nov 2023","22.24","3.55","1.27"
"NIFTY 500","22 Nov 2023","22.22","3.54","1.28"
"NIFTY 500","21 Nov 2023","22.22","3.54","1.28"
"NIFTY 500","20 Nov 2023","22.17","3.53","1.26"
"NIFTY 500","17 Nov 2023","22.2","3.54","1.26"
"NIFTY 500","16 Nov 2023","22.17","3.54","1.26"
"NIFTY 500","15 Nov 2023","22.08","3.52","1.26"
"NIFTY 500","13 Nov 2023","22","3.48","1.31"
"NIFTY 500","12 Nov 2023","22.11","3.49","1.3"
"NIFTY 500","10 Nov 2023","21.98","3.47","1.31"
"NIFTY 500","09 Nov 2023","21.93","3.46","1.29"
"NIFTY 500","08 Nov 2023","22.01","3.47","1.29"
"NIFTY 500","07 Nov 2023","22.05","3.46","1.3"
"NIFTY 500","06 Nov 2023","22.05","3.45","1.3"
"NIFTY 500","03 Nov 2023","22.01","3.42","1.31"
"NIFTY 500","02 Nov 2023","21.87","3.4","1.31"
"NIFTY 500","01 Nov 2023","21.73","3.37","1.3"
"NIFTY 500","31 Oct 2023","21.78","3.38","1.31"
"NIFTY 500","30 Oct 2023","22.13","3.39","1.31"
"NIFTY 500","27 Oct 2023","22.14","3.37","1.32"
"NIFTY 500","26 Oct 2023","21.87","3.33","1.38"
"NIFTY 500","25 Oct 2023","22.14","3.37","1.36"
"NIFTY 500","23 Oct 2023","22.52","3.4","1.3"
"NIFTY 500","20 Oct 2023","22.99","3.46","1.28"
"NIFTY 500","19 Oct 2023","23.12","3.48","1.26"
"NIFTY 500","18 Oct 2023","23.22","3.49","1.26"
"NIFTY 500","17 Oct 2023","23.66","3.51","1.25"
"NIFTY 500","16 Oct 2023","23.56","3.5","1.26"
"NIFTY 500","13 Oct 2023","23.57","3.5","1.26"
"NIFTY 500","12 Oct 2023","23.62","3.50","1.26"
"NIFTY 500","11 Oct 2023","23.60","3.50","1.26"
"NIFTY 500","10 Oct 2023","23.46","3.48","1.27"
"NIFTY 500","09 Oct 2023","23.22","3.44","1.28"
"NIFTY 500","06 Oct 2023","23.45","3.48","1.27"
"NIFTY 500","05 Oct 2023","23.32","3.46","1.27"
"NIFTY 500","04 Oct 2023","23.22","3.44","1.28"
"NIFTY 500","03 Oct 2023","23.40","3.47","1.27"
"NIFTY 500","29 Sep 2023","23.45","3.48","1.27"
"NIFTY 500","28 Sep 2023","23.26","4.16","1.29"
"NIFTY 500","27 Sep 2023","23.49","4.20","1.27"
"NIFTY 500","26 Sep 2023","23.4","4.22","1.27"
"NIFTY 500","25 Sep 2023","23.40","4.22","1.27"
"NIFTY 500","22 Sep 2023","23.38","4.21","1.28"
"NIFTY 500","21 Sep 2023","23.44","4.23","1.28"
"NIFTY 500","20 Sep 2023","23.64","4.26","1.27"
"NIFTY 500","18 Sep 2023","23.86","4.30","1.26"
"NIFTY 500","15 Sep 2023","23.93","4.31","1.25"
"NIFTY 500","14 Sep 2023","23.85","4.31","1.26"
"NIFTY 500","13 Sep 2023","23.74","4.29","1.27"
"NIFTY 500","12 Sep 2023","23.65","4.27","1.27"
"NIFTY 500","11 Sep 2023","23.91","4.33","1.26"
"NIFTY 500","08 Sep 2023","23.69","4.30","1.27"
"NIFTY 500","07 Sep 2023","23.55","4.27","1.27"
"NIFTY 500","06 Sep 2023","23.56","4.27","1.27"
"NIFTY 500","05 Sep 2023","23.52","4.29","1.27"
"NIFTY 500","04 Sep 2023","23.42","4.28","1.28"
"NIFTY 500","01 Sep 2023","23.28","4.25","1.29"
"NIFTY 500","31 Aug 2023","23.07","4.22","1.30"
"NIFTY 500","30 Aug 2023","23.13","4.23","1.29"
"NIFTY 500","29 Aug 2023","23.07","4.22","1.30"
"NIFTY 500","28 Aug 2023","23.00","4.24","1.30"
"NIFTY 500","25 Aug 2023","22.94","4.25","1.30"
"NIFTY 500","24 Aug 2023","23.11","4.28","1.29"
"NIFTY 500","23 Aug 2023","23.14","4.35","1.29"
"NIFTY 500","22 Aug 2023","23.08","4.34","1.29"
"NIFTY 500","21 Aug 2023","23.23","4.41","1.30"
"NIFTY 500","18 Aug 2023","23.10","4.39","1.30"
"NIFTY 500","17 Aug 2023","23.16","4.40","1.32"
"NIFTY 500","16 Aug 2023","23.24","4.41","1.31"
"NIFTY 500","14 Aug 2023","23.32","4.42","1.31"
"NIFTY 500","11 Aug 2023","23.37","4.43","1.30"
"NIFTY 500","10 Aug 2023","23.49","4.45","1.29"
"NIFTY 500","09 Aug 2023","23.49","4.47","1.30"
"NIFTY 500","08 Aug 2023","23.42","4.45","1.26"
"NIFTY 500","07 Aug 2023","23.52","4.45","1.28"
"NIFTY 500","04 Aug 2023","23.48","4.44","1.28"
"NIFTY 500","03 Aug 2023","23.67","4.41","1.29"
"NIFTY 500","02 Aug 2023","23.80","4.44","1.28"
"NIFTY 500","01 Aug 2023","24.05","4.52","1.24"
"NIFTY 500","31 Jul 2023","24.24","4.52","1.25"
"NIFTY 500","28 Jul 2023","24.15","4.49","1.26"
"NIFTY 500","27 Jul 2023","24.76","4.48","1.23"
"NIFTY 500","26 Jul 2023","24.84","4.50","1.23"
"NIFTY 500","25 Jul 2023","24.54","4.48","1.25"
"NIFTY 500","24 Jul 2023","24.69","4.51","1.26"
