"Index Name","Date","Open","High","Low","Close"
"NIFTY 500","04 Jan 2024","-","-","-","1117.07"
"NIFTY 500","05 Jan 2024","19602.1","19637.1","19490.95","19590.60"
"NIFTY 500","04 Jan 2024","19451.8","19560.4","19433.5","19541.25"
"NIFTY 500","03 Jan 2024","19434.3","19442.2","19343.15","19367.15"
"NIFTY 500","02 Jan 2024","19496.8","19499.8","19271.65","19418.40"
"NIFTY 500","01 Jan 2024","19452","19543.25","19421.4","19469.50"
"NIFTY 500","29 Dec 2023","19394.5","19450.1","19338.35","19429.15"
"NIFTY 500","28 Dec 2023","19358.35","19414.55","19313.1","19399.25"
"NIFTY 500","27 Dec 2023","19219.4","19312.3","19189.8","19296.95"
"NIFTY 500","26 Dec 2023","19095","19173.8","19059.4","19148.85"
"NIFTY 500","22 Dec 2023","19011.25","19089.95","18934.75","19054.70"
"NIFTY 500","21 Dec 2023","18647.85","18965.8","18582.95","18941.80"
"NIFTY 500","20 Dec 2023","19264.4","19303.6","18727.1","18779.45"
"NIFTY 500","19 Dec 2023","19212.55","19213.55","19067.2","19169.25"
"NIFTY 500","18 Dec 2023","19149.15","19201.55","19073.1","19155.55"
"NIFTY 500","15 Dec 2023","19071.95","19165.1","19020.55","19145.05"
"NIFTY 500","14 Dec 2023","18906.4","18996.25","18893.75","18973.85"
"NIFTY 500","13 Dec 2023","18723.7","18770.45","18601.5","18751.45"
"NIFTY 500","12 Dec 2023","18809.9","18819.7","18635.35","18686.80"
"NIFTY 500","11 Dec 2023","18726.35","18780.45","18710.15","18770.20"
"NIFTY 500","08 Dec 2023","18752.25","18785.7","18588.15","18703.50"
"NIFTY 500","07 Dec 2023","18696.75","18721.8","18619.75","18703.85"
"NIFTY 500","06 Dec 2023","18677.25","18698.8","18594.4","18680.00"
"NIFTY 500","05 Dec 2023","18541.3","18594.9","18453.65","18588.55"
"NIFTY 500","04 Dec 2023","18422.35","18460","18315.45","18448.50"
"NIFTY 500","01 Dec 2023","18061.8","18141.65","18053.15","18115.35"
"NIFTY 500","30 Nov 2023","17926.9","18007.1","17845.9","17987.95"
"NIFTY 500","29 Nov 2023","17831.65","17911.35","17823.45","17904.10"
"NIFTY 500","28 Nov 2023","17701.05","17760","17665.65","17741.80"
"NIFTY 500","24 Nov 2023","17661.3","17684.15","17631.75","17643.50"
"NIFTY 500","23 Nov 2023","17654.15","17693.25","17627.35","17639.40"
"NIFTY 500","22 Nov 2023","17637.45","17654.6","17533.75","17627.70"
"NIFTY 500","21 Nov 2023","17644.5","17665","17617.2","17627.60"
"NIFTY 500","20 Nov 2023","17618.55","17636.4","17556.1","17573.65"
"NIFTY 500","17 Nov 2023","17537.45","17649.05","17528.85","17600.50"
"NIFTY 500","16 Nov 2023","17518.1","17668.65","17486.5","17593.10"
"NIFTY 500","15 Nov 2023","17493.3","17518.9","17448.3","17508.05"
"NIFTY 500","13 Nov 2023","17335","17339.15","17278.65","17318.60"
"NIFTY 500","12 Nov 2023","17380.5","17384.15","17347.45","17361.10"
"NIFTY 500","10 Nov 2023","17189.7","17274.9","17156.85","17256.60"
"NIFTY 500","09 Nov 2023","17284.95","17288.6","17209.55","17218.90"
"NIFTY 500","08 Nov 2023","17242.65","17269.25","17215","17259.70"
"NIFTY 500","07 Nov 2023","17170.35","17200.6","17120.75","17187.80"
"NIFTY 500","06 Nov 2023","17105.35","17168.75","17080.95","17159.40"
"NIFTY 500","03 Nov 2023","16990.35","17027.45","16983.05","17000.95"
"NIFTY 500","02 Nov 2023","16849.95","16903.75","16823","16890.80"
"NIFTY 500","01 Nov 2023","16808.5","16834.1","16719.1","16732.95"
"NIFTY 500","31 Oct 2023","16909.7","16910","16785.55","16801.10"
"NIFTY 500","30 Oct 2023","16784.95","16837.8","16661.95","16826.10"
"NIFTY 500","27 Oct 2023","16636.05","16793.1","16634.6","16765.45"
"NIFTY 500","26 Oct 2023","16678.7","16689.1","16466.25","16555.45"
"NIFTY 500","25 Oct 2023","16912.4","16967.1","16677.15","16760.80"
"NIFTY 500","23 Oct 2023","17204.75","17224.8","16859.85","16888.70"
"NIFTY 500","20 Oct 2023","17258.3","17295.05","17190.6","17208.75"
"NIFTY 500","19 Oct 2023","17251.2","17344.6","17202.25","17310.50"
"NIFTY 500","18 Oct 2023","17484.35","17492.4","17332.3","17344.00"
"NIFTY 500","17 Oct 2023","17490.05","17494.5","17437.95","17467.70"
"NIFTY 500","16 Oct 2023","17390.35","17431.5","17353.15","17393.00"
"NIFTY 500","13 Oct 2023","17323.05","17436.5","17306.55","17390.35"
"NIFTY 500","12 Oct 2023","17438.30","17457.85","17402.45","17419.70"
"NIFTY 500","11 Oct 2023","17380.65","17447.80","17375.50","17407.35"
"NIFTY 500","10 Oct 2023","17184.55","17319.30","17184.55","17303.35"
"NIFTY 500","09 Oct 2023","17170.50","17206.85","17096.65","17127.70"
"NIFTY 500","06 Oct 2023","17263.35","17310.10","17237.10","17293.60"
"NIFTY 500","05 Oct 2023","17202.25","17234.00","17154.30","17195.80"
"NIFTY 500","04 Oct 2023","17195.55","17200.70","17032.60","17123.10"
"NIFTY 500","03 Oct 2023","17294.50","17295.45","17201.70","17254.40"
"NIFTY 500","29 Sep 2023","17227.55","17357.15","17205.20","17292.60"
"NIFTY 500","28 Sep 2023","17384.05","17389.20","17147.00","17170.45"
"NIFTY 500","27 Sep 2023","17270.40","17352.10","17217.45","17341.60"
"NIFTY 500","26 Sep 2023","17284.9","17312.35","17250.3","17276.75"
"NIFTY 500","25 Sep 2023","17276.35","17308.20","17198.20","17272.55"
"NIFTY 500","22 Sep 2023","17314.40","17361.80","17226.05","17260.80"
"NIFTY 500","21 Sep 2023","17409.10","17422.75","17273.10","17303.50"
"NIFTY 500","20 Sep 2023","17513.20","17571.15","17419.75","17449.35"
"NIFTY 500","18 Sep 2023","17666.85","17671.60","17601.55","17613.60"
"NIFTY 500","15 Sep 2023","17662.80","17691.85","17620.90","17665.80"
"NIFTY 500","14 Sep 2023","17593.25","17648.55","17546.00","17603.50"
"NIFTY 500","13 Sep 2023","17458.40","17540.85","17364.35","17526.75"
"NIFTY 500","12 Sep 2023","17753.95","17754.05","17422.05","17460.55"
"NIFTY 500","11 Sep 2023","17567.20","17660.80","17550.20","17653.35"
"NIFTY 500","08 Sep 2023","17437.65","17519.60","17411.85","17487.45"
"NIFTY 500","07 Sep 2023","17292.35","17395.00","17269.10","17385.50"
"NIFTY 500","06 Sep 2023","17274.20","17298.80","17198.75","17284.60"
"NIFTY 500","05 Sep 2023","17228.20","17264.90","17180.95","17252.10"
"NIFTY 500","04 Sep 2023","17157.90","17191.20","17074.55","17180.95"
"NIFTY 500","01 Sep 2023","16940.20","17088.10","16931.50","17074.55"
"NIFTY 500","31 Aug 2023","17001.35","17011.80","16904.70","16924.30"
"NIFTY 500","30 Aug 2023","17010.15","17035.60","16959.10","16968.95"
"NIFTY 500","29 Aug 2023","16933.85","16938.80","16898.05","16927.30"
"NIFTY 500","28 Aug 2023","16866.40","16918.25","16823.40","16875.30"
"NIFTY 500","25 Aug 2023","16871.00","16905.70","16785.25","16820.85"
"NIFTY 500","24 Aug 2023","17039.25","17074.25","16916.40","16930.15"
"NIFTY 500","23 Aug 2023","16950.90","16981.85","16912.15","16950.25"
"NIFTY 500","22 Aug 2023","16886.95","16925.45","16874.80","16905.25"
"NIFTY 500","21 Aug 2023","16780.75","16872.55","16766.70","16852.05"
"NIFTY 500","18 Aug 2023","16768.00","16803.25","16722.05","16757.70"
"NIFTY 500","17 Aug 2023","16858.85","16869.40","16781.60","16802.25"
"NIFTY 500","16 Aug 2023","16779.60","16867.80","16732.75","16853.05"
"NIFTY 500","14 Aug 2023","16827.75","16854.10","16661.00","16825.55"
"NIFTY 500","11 Aug 2023","16970.05","16972.05","16845.80","16860.15"
"NIFTY 500","10 Aug 2023","16999.50","17013.45","16901.55","16939.85"
"NIFTY 500","09 Aug 2023","16966.85","17011.95","16881.75","17003.85"
